,,Chatham Roadside,
Date,Time,PM10 Kent (Hourly measured),Status
10/03/2017,06:00:00,23.72,V ugm-3 (Ref.eq)
10/03/2017,07:00:00,24.426,V ugm-3 (Ref.eq)
10/03/2017,08:00:00,33.16,V ugm-3 (Ref.eq)
10/03/2017,09:00:00,29.15,V ugm-3 (Ref.eq)
10/03/2017,10:00:00,33.865,V ugm-3 (Ref.eq)
10/03/2017,11:00:00,39.286,V ugm-3 (Ref.eq)
10/03/2017,12:00:00,34.339,V ugm-3 (Ref.eq)
10/03/2017,13:00:00,36.696,V ugm-3 (Ref.eq)
10/03/2017,14:00:00,30.087,V ugm-3 (Ref.eq)
10/03/2017,15:00:00,22.31,V ugm-3 (Ref.eq)
10/03/2017,16:00:00,22.541,V ugm-3 (Ref.eq)
10/03/2017,17:00:00,28.435,V ugm-3 (Ref.eq)
10/03/2017,18:00:00,51.788,V ugm-3 (Ref.eq)
10/03/2017,19:00:00,35.276,V ugm-3 (Ref.eq)
10/03/2017,20:00:00,20.416,V ugm-3 (Ref.eq)
10/03/2017,21:00:00,17.826,V ugm-3 (Ref.eq)
10/03/2017,22:00:00,23.488,V ugm-3 (Ref.eq)
10/03/2017,23:00:00,22.31,V ugm-3 (Ref.eq)
10/03/2017,24:00:00,25.372,V ugm-3 (Ref.eq)
11/03/2017,01:00:00,38.107,V ugm-3 (Ref.eq)
11/03/2017,02:00:00,33.392,V ugm-3 (Ref.eq)
11/03/2017,03:00:00,36.223,V ugm-3 (Ref.eq)
11/03/2017,04:00:00,31.266,V ugm-3 (Ref.eq)
11/03/2017,05:00:00,35.518,V ugm-3 (Ref.eq)
11/03/2017,06:00:00,40.233,V ugm-3 (Ref.eq)
11/03/2017,07:00:00,37.402,V ugm-3 (Ref.eq)
11/03/2017,08:00:00,46.6,V ugm-3 (Ref.eq)
11/03/2017,09:00:00,49.199,V ugm-3 (Ref.eq)
11/03/2017,10:00:00,54.619,V ugm-3 (Ref.eq)
11/03/2017,11:00:00,45.421,V ugm-3 (Ref.eq)
11/03/2017,12:00:00,39.759,V ugm-3 (Ref.eq)
11/03/2017,13:00:00,40.001,V ugm-3 (Ref.eq)
11/03/2017,14:00:00,24.667,V ugm-3 (Ref.eq)
11/03/2017,15:00:00,29.382,V ugm-3 (Ref.eq)
11/03/2017,16:00:00,48.02,V ugm-3 (Ref.eq)
11/03/2017,17:00:00,26.793,V ugm-3 (Ref.eq)
11/03/2017,18:00:00,22.773,V ugm-3 (Ref.eq)
11/03/2017,19:00:00,17.111,V ugm-3 (Ref.eq)
11/03/2017,20:00:00,29.856,V ugm-3 (Ref.eq)
11/03/2017,21:00:00,23.247,V ugm-3 (Ref.eq)
11/03/2017,22:00:00,36.223,V ugm-3 (Ref.eq)
11/03/2017,23:00:00,42.59,V ugm-3 (Ref.eq)
11/03/2017,24:00:00,38.822,V ugm-3 (Ref.eq)
12/03/2017,01:00:00,40.001,V ugm-3 (Ref.eq)
12/03/2017,02:00:00,39.527,V ugm-3 (Ref.eq)
12/03/2017,03:00:00,29.856,V ugm-3 (Ref.eq)
12/03/2017,04:00:00,42.117,V ugm-3 (Ref.eq)
12/03/2017,05:00:00,32.213,V ugm-3 (Ref.eq)
12/03/2017,06:00:00,40.464,V ugm-3 (Ref.eq)
12/03/2017,07:00:00,45.189,V ugm-3 (Ref.eq)
12/03/2017,08:00:00,48.725,V ugm-3 (Ref.eq)
12/03/2017,09:00:00,43.769,V ugm-3 (Ref.eq)
12/03/2017,10:00:00,43.064,V ugm-3 (Ref.eq)
12/03/2017,11:00:00,46.368,V ugm-3 (Ref.eq)
12/03/2017,12:00:00,35.991,V ugm-3 (Ref.eq)
12/03/2017,13:00:00,36.455,V ugm-3 (Ref.eq)
12/03/2017,14:00:00,38.822,V ugm-3 (Ref.eq)
12/03/2017,15:00:00,42.117,V ugm-3 (Ref.eq)
12/03/2017,16:00:00,44.474,V ugm-3 (Ref.eq)
12/03/2017,17:00:00,40.938,V ugm-3 (Ref.eq)
12/03/2017,18:00:00,30.087,V ugm-3 (Ref.eq)
12/03/2017,19:00:00,15.469,V ugm-3 (Ref.eq)
12/03/2017,20:00:00,17.585,V ugm-3 (Ref.eq)
12/03/2017,21:00:00,25.141,V ugm-3 (Ref.eq)
12/03/2017,22:00:00,24.194,V ugm-3 (Ref.eq)
12/03/2017,23:00:00,22.068,V ugm-3 (Ref.eq)
12/03/2017,24:00:00,14.522,V ugm-3 (Ref.eq)
13/03/2017,01:00:00,16.174,V ugm-3 (Ref.eq)
13/03/2017,02:00:00,14.29,V ugm-3 (Ref.eq)
13/03/2017,03:00:00,14.049,V ugm-3 (Ref.eq)
13/03/2017,04:00:00,15.933,V ugm-3 (Ref.eq)
13/03/2017,05:00:00,22.068,V ugm-3 (Ref.eq)
13/03/2017,06:00:00,19.942,V ugm-3 (Ref.eq)
13/03/2017,07:00:00,21.121,V ugm-3 (Ref.eq)
13/03/2017,08:00:00,32.918,V ugm-3 (Ref.eq)
13/03/2017,09:00:00,27.971,V ugm-3 (Ref.eq)
13/03/2017,10:00:00,20.889,V ugm-3 (Ref.eq)
13/03/2017,11:00:00,23.247,V ugm-3 (Ref.eq)
13/03/2017,12:00:00,23.72,V ugm-3 (Ref.eq)
13/03/2017,13:00:00,24.194,V ugm-3 (Ref.eq)
13/03/2017,14:00:00,23.488,V ugm-3 (Ref.eq)
13/03/2017,15:00:00,35.518,V ugm-3 (Ref.eq)
13/03/2017,16:00:00,30.329,V ugm-3 (Ref.eq)
13/03/2017,17:00:00,33.16,V ugm-3 (Ref.eq)
13/03/2017,18:00:00,36.223,V ugm-3 (Ref.eq)
13/03/2017,19:00:00,28.909,V ugm-3 (Ref.eq)
13/03/2017,20:00:00,32.918,V ugm-3 (Ref.eq)
13/03/2017,21:00:00,34.339,V ugm-3 (Ref.eq)
13/03/2017,22:00:00,27.498,V ugm-3 (Ref.eq)
13/03/2017,23:00:00,25.141,V ugm-3 (Ref.eq)
13/03/2017,24:00:00,32.213,V ugm-3 (Ref.eq)
14/03/2017,01:00:00,27.257,V ugm-3 (Ref.eq)
14/03/2017,02:00:00,23.488,V ugm-3 (Ref.eq)
14/03/2017,03:00:00,19.71,V ugm-3 (Ref.eq)
14/03/2017,04:00:00,22.31,V ugm-3 (Ref.eq)
14/03/2017,05:00:00,18.532,V ugm-3 (Ref.eq)
14/03/2017,06:00:00,22.31,V ugm-3 (Ref.eq)
