Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Shetland Islands,2022-23,6601,6601,Education,Pre-school,23
Shetland Islands,2022-23,19141,19141,Education,Primary,23
Shetland Islands,2022-23,19243,19243,Education,Secondary,23
Shetland Islands,2022-23,366,366,Environmental Services,Street cleaning,23
Shetland Islands,2022-23,1440,1440,Environmental Services,Trading Standards & Env. Health,23
Shetland Islands,2022-23,1725,1725,Environmental Services,Waste Collection,23
Shetland Islands,2022-23,2854,2854,Environmental Services,Waste Disposal,23
Shetland Islands,2022-23,643,643,Looked After Children,Community,23
Shetland Islands,2022-23,3000,3000,Looked After Children,Residential,23
Shetland Islands,2022-23,2171,2171,Planning,Planning,23
Shetland Islands,2022-23,7915,7915,Roads,Roads,23
Shetland Islands,2022-23,2182,2182,Support Services,Support Services,23
Shetland Islands,2022-23,189933,189933,Total General Fund,Total General Fund,23
South Ayrshire,2010-11,16726,21820,Adult Social Care,Care Homes for Older People,11
South Ayrshire,2010-11,14273,18620,Adult Social Care,Homecare,11
South Ayrshire,2010-11,34476,44975,Adult Social Care,Other Spend On Over 18s,11
South Ayrshire,2010-11,2386,3113,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
South Ayrshire,2010-11,2447,3192,Culture & Leisure,Libraries,11
South Ayrshire,2010-11,435,567,Culture & Leisure,Museums & Galleries,11
South Ayrshire,2010-11,7191,9381,Culture & Leisure,Sports Facilities,11
South Ayrshire,2010-11,2347,3062,Economic Development,Economic Development & Tourism,11
South Ayrshire,2010-11,6100,7958,Education,Pre-school,11
South Ayrshire,2010-11,35560,46389,Education,Primary,11
South Ayrshire,2010-11,41319,53902,Education,Secondary,11
South Ayrshire,2010-11,1727,2253,Environmental Services,Street cleaning,11
South Ayrshire,2010-11,2995,3907,Environmental Services,Trading Standards & Env. Health,11
South Ayrshire,2010-11,5235,6829,Environmental Services,Waste Collection,11
South Ayrshire,2010-11,4104,5354,Environmental Services,Waste Disposal,11
South Ayrshire,2010-11,4310,5623,Looked After Children,Community,11
South Ayrshire,2010-11,4114,5367,Looked After Children,Residential,11
South Ayrshire,2010-11,2656,3465,Planning,Planning,11
South Ayrshire,2010-11,5416,7065,Roads,Roads,11
South Ayrshire,2010-11,10686,13940,Support Services,Support Services,11
South Ayrshire,2010-11,293409,382760,Total General Fund,Total General Fund,11
South Ayrshire,2011-12,17027,21828,Adult Social Care,Care Homes for Older People,12
South Ayrshire,2011-12,13212,16937,Adult Social Care,Homecare,12
South Ayrshire,2011-12,35370,45342,Adult Social Care,Other Spend On Over 18s,12
South Ayrshire,2011-12,1938,2484,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
South Ayrshire,2011-12,2231,2860,Culture & Leisure,Libraries,12
South Ayrshire,2011-12,460,590,Culture & Leisure,Museums & Galleries,12
South Ayrshire,2011-12,7086,9084,Culture & Leisure,Sports Facilities,12
South Ayrshire,2011-12,2893,3709,Economic Development,Economic Development & Tourism,12
South Ayrshire,2011-12,6503,8336,Education,Pre-school,12
South Ayrshire,2011-12,36373,46628,Education,Primary,12
South Ayrshire,2011-12,40447,51850,Education,Secondary,12
South Ayrshire,2011-12,2156,2764,Environmental Services,Street cleaning,12
South Ayrshire,2011-12,2687,3445,Environmental Services,Trading Standards & Env. Health,12
South Ayrshire,2011-12,4735,6070,Environmental Services,Waste Collection,12
South Ayrshire,2011-12,4525,5801,Environmental Services,Waste Disposal,12
South Ayrshire,2011-12,4988,6394,Looked After Children,Community,12
South Ayrshire,2011-12,4224,5415,Looked After Children,Residential,12
South Ayrshire,2011-12,2044,2620,Planning,Planning,12
South Ayrshire,2011-12,6595,8454,Roads,Roads,12
South Ayrshire,2011-12,14791,18961,Support Services,Support Services,12
South Ayrshire,2011-12,293166,375820,Total General Fund,Total General Fund,12
South Ayrshire,2012-13,8897,11200,Adult Social Care,Care Homes for Older People,13
South Ayrshire,2012-13,14527,18287,Adult Social Care,Homecare,13
South Ayrshire,2012-13,43634,54928,Adult Social Care,Other Spend On Over 18s,13
South Ayrshire,2012-13,2216,2790,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
South Ayrshire,2012-13,2285,2876,Culture & Leisure,Libraries,13
South Ayrshire,2012-13,565,711,Culture & Leisure,Museums & Galleries,13
South Ayrshire,2012-13,7144,8993,Culture & Leisure,Sports Facilities,13
South Ayrshire,2012-13,3134,3945,Economic Development,Economic Development & Tourism,13
South Ayrshire,2012-13,5862,7379,Education,Pre-school,13
South Ayrshire,2012-13,36256,45640,Education,Primary,13
South Ayrshire,2012-13,40184,50585,Education,Secondary,13
South Ayrshire,2012-13,2306,2903,Environmental Services,Street cleaning,13
South Ayrshire,2012-13,2549,3209,Environmental Services,Trading Standards & Env. Health,13
South Ayrshire,2012-13,4660,5866,Environmental Services,Waste Collection,13
South Ayrshire,2012-13,4551,5729,Environmental Services,Waste Disposal,13
South Ayrshire,2012-13,5271,6635,Looked After Children,Community,13
South Ayrshire,2012-13,4047,5094,Looked After Children,Residential,13
South Ayrshire,2012-13,2011,2532,Planning,Planning,13
South Ayrshire,2012-13,5628,7085,Roads,Roads,13
South Ayrshire,2012-13,11511,14490,Support Services,Support Services,13
South Ayrshire,2012-13,297432,374416,Total General Fund,Total General Fund,13
South Ayrshire,2013-14,17613,21753,Adult Social Care,Care Homes for Older People,14
South Ayrshire,2013-14,14910,18415,Adult Social Care,Homecare,14
South Ayrshire,2013-14,36451,45020,Adult Social Care,Other Spend On Over 18s,14
South Ayrshire,2013-14,2450,3026,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,14
South Ayrshire,2013-14,2313,2857,Culture & Leisure,Libraries,14
South Ayrshire,2013-14,576,711,Culture & Leisure,Museums & Galleries,14
South Ayrshire,2013-14,6739,8323,Culture & Leisure,Sports Facilities,14
South Ayrshire,2013-14,6363,7859,Economic Development,Economic Development & Tourism,14
South Ayrshire,2013-14,5833,7204,Education,Pre-school,14
South Ayrshire,2013-14,36976,45668,Education,Primary,14
South Ayrshire,2013-14,40562,50097,Education,Secondary,14
South Ayrshire,2013-14,1889,2333,Environmental Services,Street cleaning,14
South Ayrshire,2013-14,2409,2975,Environmental Services,Trading Standards & Env. Health,14
South Ayrshire,2013-14,4506,5565,Environmental Services,Waste Collection,14
South Ayrshire,2013-14,4296,5306,Environmental Services,Waste Disposal,14
South Ayrshire,2013-14,5367,6629,Looked After Children,Community,14
South Ayrshire,2013-14,5387,6653,Looked After Children,Residential,14
South Ayrshire,2013-14,2032,2510,Planning,Planning,14
South Ayrshire,2013-14,5435,6713,Roads,Roads,14
South Ayrshire,2013-14,11198,13830,Support Services,Support Services,14
South Ayrshire,2013-14,305100,376823,Total General Fund,Total General Fund,14
South Ayrshire,2014-15,17702,21601,Adult Social Care,Care Homes for Older People,15
South Ayrshire,2014-15,14197,17324,Adult Social Care,Homecare,15
South Ayrshire,2014-15,36648,44719,Adult Social Care,Other Spend On Over 18s,15
South Ayrshire,2014-15,2575,3142,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,15
South Ayrshire,2014-15,2390,2916,Culture & Leisure,Libraries,15
South Ayrshire,2014-15,733,894,Culture & Leisure,Museums & Galleries,15
South Ayrshire,2014-15,6837,8343,Culture & Leisure,Sports Facilities,15
South Ayrshire,2014-15,3894,4752,Economic Development,Economic Development & Tourism,15
South Ayrshire,2014-15,6205,7572,Education,Pre-school,15
South Ayrshire,2014-15,36774,44873,Education,Primary,15
South Ayrshire,2014-15,39826,48597,Education,Secondary,15
South Ayrshire,2014-15,1501,1832,Environmental Services,Street cleaning,15
South Ayrshire,2014-15,2264,2763,Environmental Services,Trading Standards & Env. Health,15
South Ayrshire,2014-15,5513,6727,Environmental Services,Waste Collection,15
South Ayrshire,2014-15,4506,5498,Environmental Services,Waste Disposal,15
South Ayrshire,2014-15,5230,6382,Looked After Children,Community,15
South Ayrshire,2014-15,6202,7568,Looked After Children,Residential,15
South Ayrshire,2014-15,2221,2710,Planning,Planning,15
South Ayrshire,2014-15,5933,7240,Roads,Roads,15
South Ayrshire,2014-15,12037,14688,Support Services,Support Services,15
South Ayrshire,2014-15,307011,374626,Total General Fund,Total General Fund,15
South Ayrshire,2015-16,17962,21761,Adult Social Care,Care Homes for Older People,16
South Ayrshire,2015-16,14365,17403,Adult Social Care,Homecare,16
South Ayrshire,2015-16,35232,42684,Adult Social Care,Other Spend On Over 18s,16
South Ayrshire,2015-16,2472,2995,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
South Ayrshire,2015-16,2110,2556,Culture & Leisure,Libraries,16
South Ayrshire,2015-16,535,648,Culture & Leisure,Museums & Galleries,16
South Ayrshire,2015-16,6528,7909,Culture & Leisure,Sports Facilities,16
South Ayrshire,2015-16,3555,4307,Economic Development,Economic Development & Tourism,16
South Ayrshire,2015-16,8150,9874,Education,Pre-school,16
South Ayrshire,2015-16,35015,42421,Education,Primary,16
South Ayrshire,2015-16,38828,47041,Education,Secondary,16
South Ayrshire,2015-16,1370,1660,Environmental Services,Street cleaning,16
South Ayrshire,2015-16,2463,2984,Environmental Services,Trading Standards & Env. Health,16
South Ayrshire,2015-16,5137,6224,Environmental Services,Waste Collection,16
South Ayrshire,2015-16,4096,4962,Environmental Services,Waste Disposal,16
South Ayrshire,2015-16,5320,6445,Looked After Children,Community,16
South Ayrshire,2015-16,6998,8478,Looked After Children,Residential,16
South Ayrshire,2015-16,2405,2914,Planning,Planning,16
South Ayrshire,2015-16,8136,9857,Roads,Roads,16
South Ayrshire,2015-16,11561,14006,Support Services,Support Services,16
South Ayrshire,2015-16,306514,371348,Total General Fund,Total General Fund,16
South Ayrshire,2016-17,18329,21712,Adult Social Care,Care Homes for Older People,17
South Ayrshire,2016-17,15628,18513,Adult Social Care,Homecare,17
South Ayrshire,2016-17,38171,45216,Adult Social Care,Other Spend On Over 18s,17
South Ayrshire,2016-17,2587,3065,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
South Ayrshire,2016-17,2321,2749,Culture & Leisure,Libraries,17
South Ayrshire,2016-17,476,564,Culture & Leisure,Museums & Galleries,17
South Ayrshire,2016-17,6547,7755,Culture & Leisure,Sports Facilities,17
South Ayrshire,2016-17,4473,5299,Economic Development,Economic Development & Tourism,17
South Ayrshire,2016-17,7621,9028,Education,Pre-school,17
South Ayrshire,2016-17,37085,43930,Education,Primary,17
South Ayrshire,2016-17,38931,46117,Education,Secondary,17
South Ayrshire,2016-17,1413,1674,Environmental Services,Street cleaning,17
South Ayrshire,2016-17,2609,3091,Environmental Services,Trading Standards & Env. Health,17
South Ayrshire,2016-17,5598,6631,Environmental Services,Waste Collection,17
South Ayrshire,2016-17,4463,5287,Environmental Services,Waste Disposal,17
South Ayrshire,2016-17,5457,6464,Looked After Children,Community,17
South Ayrshire,2016-17,5061,5995,Looked After Children,Residential,17
South Ayrshire,2016-17,2168,2568,Planning,Planning,17
South Ayrshire,2016-17,8947,10598,Roads,Roads,17
South Ayrshire,2016-17,12580,14902,Support Services,Support Services,17
South Ayrshire,2016-17,316650,375096,Total General Fund,Total General Fund,17
South Ayrshire,2017-18,19727,23008,Adult Social Care,Care Homes for Older People,18
South Ayrshire,2017-18,17171,20027,Adult Social Care,Homecare,18
South Ayrshire,2017-18,38006,44327,Adult Social Care,Other Spend On Over 18s,18
South Ayrshire,2017-18,2827,3297,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
South Ayrshire,2017-18,2266,2643,Culture & Leisure,Libraries,18
South Ayrshire,2017-18,513,598,Culture & Leisure,Museums & Galleries,18
South Ayrshire,2017-18,6444,7516,Culture & Leisure,Sports Facilities,18
South Ayrshire,2017-18,6055,7062,Economic Development,Economic Development & Tourism,18
South Ayrshire,2017-18,7943,9264,Education,Pre-school,18
South Ayrshire,2017-18,39091,45592,Education,Primary,18
South Ayrshire,2017-18,39481,46047,Education,Secondary,18
South Ayrshire,2017-18,1289,1503,Environmental Services,Street cleaning,18
South Ayrshire,2017-18,2190,2554,Environmental Services,Trading Standards & Env. Health,18
South Ayrshire,2017-18,6707,7822,Environmental Services,Waste Collection,18
South Ayrshire,2017-18,5115,5966,Environmental Services,Waste Disposal,18
South Ayrshire,2017-18,5514,6431,Looked After Children,Community,18
South Ayrshire,2017-18,5469,6379,Looked After Children,Residential,18
South Ayrshire,2017-18,2103,2453,Planning,Planning,18
South Ayrshire,2017-18,8342,9729,Roads,Roads,18
South Ayrshire,2017-18,13557,15812,Support Services,Support Services,18
South Ayrshire,2017-18,322426,376049,Total General Fund,Total General Fund,18
South Ayrshire,2018-19,20513,23430,Adult Social Care,Care Homes for Older People,19
South Ayrshire,2018-19,18412,21031,Adult Social Care,Homecare,19
South Ayrshire,2018-19,41623,47543,Adult Social Care,Other Spend On Over 18s,19
South Ayrshire,2018-19,3110,3552,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,19
South Ayrshire,2018-19,2178,2488,Culture & Leisure,Libraries,19
South Ayrshire,2018-19,547,625,Culture & Leisure,Museums & Galleries,19
South Ayrshire,2018-19,6959,7949,Culture & Leisure,Sports Facilities,19
South Ayrshire,2018-19,6485,7407,Economic Development,Economic Development & Tourism,19
South Ayrshire,2018-19,8976,10253,Education,Pre-school,19
South Ayrshire,2018-19,41309,47184,Education,Primary,19
South Ayrshire,2018-19,41100,46945,Education,Secondary,19
South Ayrshire,2018-19,830,948,Environmental Services,Street cleaning,19
South Ayrshire,2018-19,2312,2641,Environmental Services,Trading Standards & Env. Health,19
South Ayrshire,2018-19,6612,7552,Environmental Services,Waste Collection,19
South Ayrshire,2018-19,5447,6222,Environmental Services,Waste Disposal,19
South Ayrshire,2018-19,5656,6460,Looked After Children,Community,19
South Ayrshire,2018-19,6780,7744,Looked After Children,Residential,19
South Ayrshire,2018-19,4569,5219,Planning,Planning,19
South Ayrshire,2018-19,10673,12191,Roads,Roads,19
South Ayrshire,2018-19,14532,16599,Support Services,Support Services,19
South Ayrshire,2018-19,332908,380253,Total General Fund,Total General Fund,19
South Ayrshire,2019-20,21397.9870752173,23877,Adult Social Care,Care Homes for Older People,20
South Ayrshire,2019-20,18495,20638,Adult Social Care,Homecare,20
South Ayrshire,2019-20,42072.0129247827,46947,Adult Social Care,Other Spend On Over 18s,20
South Ayrshire,2019-20,4239,4730,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,20
South Ayrshire,2019-20,2045,2282,Culture & Leisure,Libraries,20
South Ayrshire,2019-20,519,579,Culture & Leisure,Museums & Galleries,20
South Ayrshire,2019-20,7161,7991,Culture & Leisure,Sports Facilities,20
South Ayrshire,2019-20,6352,7088,Economic Development,Economic Development & Tourism,20
South Ayrshire,2019-20,13475,15036,Education,Pre-school,20
South Ayrshire,2019-20,44363,49503,Education,Primary,20
South Ayrshire,2019-20,43633,48689,Education,Secondary,20
South Ayrshire,2019-20,1027,1146,Environmental Services,Street cleaning,20
South Ayrshire,2019-20,2129,2376,Environmental Services,Trading Standards & Env. Health,20
South Ayrshire,2019-20,5983,6676,Environmental Services,Waste Collection,20
South Ayrshire,2019-20,4743,5293,Environmental Services,Waste Disposal,20
South Ayrshire,2019-20,6085,6790,Looked After Children,Community,20
South Ayrshire,2019-20,4731,5279,Looked After Children,Residential,20
South Ayrshire,2019-20,3332,3718,Planning,Planning,20
South Ayrshire,2019-20,7240,8079,Roads,Roads,20
South Ayrshire,2019-20,13544,15113,Support Services,Support Services,20
South Ayrshire,2019-20,338645,377885,Total General Fund,Total General Fund,20
South Ayrshire,2020-21,19366.579562516,21120,Adult Social Care,Care Homes for Older People,21
South Ayrshire,2020-21,21906,23889,Adult Social Care,Homecare,21
South Ayrshire,2020-21,49924.420437484,54444,Adult Social Care,Other Spend On Over 18s,21
South Ayrshire,2020-21,4425,4826,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
South Ayrshire,2020-21,1905,2077,Culture & Leisure,Libraries,21
South Ayrshire,2020-21,423,461,Culture & Leisure,Museums & Galleries,21
South Ayrshire,2020-21,5688,6203,Culture & Leisure,Sports Facilities,21
South Ayrshire,2020-21,7265,7923,Economic Development,Economic Development & Tourism,21
South Ayrshire,2020-21,16767,18285,Education,Pre-school,21
South Ayrshire,2020-21,47907,52244,Education,Primary,21
South Ayrshire,2020-21,48576,52974,Education,Secondary,21
South Ayrshire,2020-21,1311,1430,Environmental Services,Street cleaning,21
South Ayrshire,2020-21,2008,2190,Environmental Services,Trading Standards & Env. Health,21
South Ayrshire,2020-21,5066,5525,Environmental Services,Waste Collection,21
South Ayrshire,2020-21,5153,5620,Environmental Services,Waste Disposal,21
South Ayrshire,2020-21,5300,5780,Looked After Children,Community,21
South Ayrshire,2020-21,4249,4634,Looked After Children,Residential,21
South Ayrshire,2020-21,3345,3648,Planning,Planning,21
South Ayrshire,2020-21,7709,8407,Roads,Roads,21
South Ayrshire,2020-21,13004,14181,Support Services,Support Services,21
South Ayrshire,2020-21,352621,384544,Total General Fund,Total General Fund,21
South Ayrshire,2021-22,24874,26510,Adult Social Care,Care Homes for Older People,22
South Ayrshire,2021-22,20932,22309,Adult Social Care,Homecare,22
South Ayrshire,2021-22,48862,52075,Adult Social Care,Other Spend On Over 18s,22
South Ayrshire,2021-22,4210,4487,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
South Ayrshire,2021-22,2056,2191,Culture & Leisure,Libraries,22
South Ayrshire,2021-22,448,477,Culture & Leisure,Museums & Galleries,22
South Ayrshire,2021-22,6488,6915,Culture & Leisure,Sports Facilities,22
South Ayrshire,2021-22,9165,9768,Economic Development,Economic Development & Tourism,22
South Ayrshire,2021-22,18558,19778,Education,Pre-school,22
South Ayrshire,2021-22,49716,52986,Education,Primary,22
South Ayrshire,2021-22,51070,54429,Education,Secondary,22
South Ayrshire,2021-22,1626,1733,Environmental Services,Street cleaning,22
South Ayrshire,2021-22,2483,2646,Environmental Services,Trading Standards & Env. Health,22
South Ayrshire,2021-22,6017,6413,Environmental Services,Waste Collection,22
South Ayrshire,2021-22,5076,5410,Environmental Services,Waste Disposal,22
South Ayrshire,2021-22,4786,5101,Looked After Children,Community,22
South Ayrshire,2021-22,4703,5012,Looked After Children,Residential,22
South Ayrshire,2021-22,3874,4129,Planning,Planning,22
South Ayrshire,2021-22,9632,10265,Roads,Roads,22
South Ayrshire,2021-22,13264,14136,Support Services,Support Services,22
South Ayrshire,2021-22,374856,399508,Total General Fund,Total General Fund,22
South Ayrshire,2022-23,28835,28835,Adult Social Care,Care Homes for Older People,23
South Ayrshire,2022-23,22382.6767321169,22383,Adult Social Care,Homecare,23
South Ayrshire,2022-23,52511.3232678831,52511,Adult Social Care,Other Spend On Over 18s,23
South Ayrshire,2022-23,0,0,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
South Ayrshire,2022-23,0,0,Culture & Leisure,Libraries,23
South Ayrshire,2022-23,0,0,Culture & Leisure,Museums & Galleries,23
South Ayrshire,2022-23,0,0,Culture & Leisure,Sports Facilities,23
South Ayrshire,2022-23,0,0,Economic Development,Economic Development & Tourism,23
South Ayrshire,2022-23,20039.8792660901,20040,Education,Pre-school,23
South Ayrshire,2022-23,53728.702874736,53729,Education,Primary,23
South Ayrshire,2022-23,55271.206597605,55271,Education,Secondary,23
South Ayrshire,2022-23,1528,1528,Environmental Services,Street cleaning,23
South Ayrshire,2022-23,2643,2643,Environmental Services,Trading Standards & Env. Health,23
South Ayrshire,2022-23,0,0,Environmental Services,Waste Collection,23
South Ayrshire,2022-23,0,0,Environmental Services,Waste Disposal,23
South Ayrshire,2022-23,4806.18591340947,4806,Looked After Children,Community,23
South Ayrshire,2022-23,4939.34538852578,4939,Looked After Children,Residential,23
South Ayrshire,2022-23,4238.645909,4239,Planning,Planning,23
South Ayrshire,2022-23,0,0,Roads,Roads,23
South Ayrshire,2022-23,14215.9924220327,14216,Support Services,Support Services,23
South Ayrshire,2022-23,402767.8282793,402768,Total General Fund,Total General Fund,23
South Lanarkshire,2010-11,28874,37667,Adult Social Care,Care Homes for Older People,11
South Lanarkshire,2010-11,24669,32181,Adult Social Care,Homecare,11
South Lanarkshire,2010-11,85193,111137,Adult Social Care,Other Spend On Over 18s,11
South Lanarkshire,2010-11,8848,11542,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
South Lanarkshire,2010-11,4599,6000,Culture & Leisure,Libraries,11
South Lanarkshire,2010-11,720,939,Culture & Leisure,Museums & Galleries,11
South Lanarkshire,2010-11,10602,13831,Culture & Leisure,Sports Facilities,11
South Lanarkshire,2010-11,22827,29778,Economic Development,Economic Development & Tourism,11
South Lanarkshire,2010-11,14620,19072,Education,Pre-school,11
South Lanarkshire,2010-11,99927,130358,Education,Primary,11
South Lanarkshire,2010-11,107647,140428,Education,Secondary,11
South Lanarkshire,2010-11,5062,6604,Environmental Services,Street cleaning,11
South Lanarkshire,2010-11,5768,7525,Environmental Services,Trading Standards & Env. Health,11
South Lanarkshire,2010-11,9618,12547,Environmental Services,Waste Collection,11
South Lanarkshire,2010-11,12549,16371,Environmental Services,Waste Disposal,11
South Lanarkshire,2010-11,3770,4918,Looked After Children,Community,11
South Lanarkshire,2010-11,9416,12283,Looked After Children,Residential,11
South Lanarkshire,2010-11,9535,12439,Planning,Planning,11
South Lanarkshire,2010-11,46943,61238,Roads,Roads,11
South Lanarkshire,2010-11,40756,53167,Support Services,Support Services,11
South Lanarkshire,2010-11,757633,988353,Total General Fund,Total General Fund,11
South Lanarkshire,2011-12,38663,49563,Adult Social Care,Care Homes for Older People,12
South Lanarkshire,2011-12,25343,32488,Adult Social Care,Homecare,12
South Lanarkshire,2011-12,81944,105047,Adult Social Care,Other Spend On Over 18s,12
South Lanarkshire,2011-12,8734,11196,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
South Lanarkshire,2011-12,4393,5632,Culture & Leisure,Libraries,12
South Lanarkshire,2011-12,697,894,Culture & Leisure,Museums & Galleries,12
South Lanarkshire,2011-12,10716,13737,Culture & Leisure,Sports Facilities,12
South Lanarkshire,2011-12,19115,24504,Economic Development,Economic Development & Tourism,12
South Lanarkshire,2011-12,14995,19223,Education,Pre-school,12
South Lanarkshire,2011-12,102236,131060,Education,Primary,12
South Lanarkshire,2011-12,111222,142579,Education,Secondary,12
South Lanarkshire,2011-12,4901,6283,Environmental Services,Street cleaning,12
South Lanarkshire,2011-12,5373,6888,Environmental Services,Trading Standards & Env. Health,12
South Lanarkshire,2011-12,9526,12212,Environmental Services,Waste Collection,12
South Lanarkshire,2011-12,13611,17448,Environmental Services,Waste Disposal,12
South Lanarkshire,2011-12,3968,5087,Looked After Children,Community,12
South Lanarkshire,2011-12,9418,12073,Looked After Children,Residential,12
South Lanarkshire,2011-12,6470,8294,Planning,Planning,12
South Lanarkshire,2011-12,35907,46030,Roads,Roads,12
South Lanarkshire,2011-12,39280,50354,Support Services,Support Services,12
South Lanarkshire,2011-12,777467,996662,Total General Fund,Total General Fund,12
South Lanarkshire,2012-13,38171,48051,Adult Social Care,Care Homes for Older People,13
South Lanarkshire,2012-13,25704,32357,Adult Social Care,Homecare,13
South Lanarkshire,2012-13,82055,103293,Adult Social Care,Other Spend On Over 18s,13
South Lanarkshire,2012-13,8974,11297,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
South Lanarkshire,2012-13,5385,6779,Culture & Leisure,Libraries,13
South Lanarkshire,2012-13,792,997,Culture & Leisure,Museums & Galleries,13
South Lanarkshire,2012-13,7993,10062,Culture & Leisure,Sports Facilities,13
South Lanarkshire,2012-13,18638,23462,Economic Development,Economic Development & Tourism,13
South Lanarkshire,2012-13,15088,18993,Education,Pre-school,13
South Lanarkshire,2012-13,104527,131582,Education,Primary,13
South Lanarkshire,2012-13,110512,139116,Education,Secondary,13
South Lanarkshire,2012-13,5147,6479,Environmental Services,Street cleaning,13
South Lanarkshire,2012-13,5671,7139,Environmental Services,Trading Standards & Env. Health,13
South Lanarkshire,2012-13,9809,12348,Environmental Services,Waste Collection,13
South Lanarkshire,2012-13,12890,16226,Environmental Services,Waste Disposal,13
South Lanarkshire,2012-13,4533,5706,Looked After Children,Community,13
South Lanarkshire,2012-13,8872,11168,Looked After Children,Residential,13
South Lanarkshire,2012-13,8407,10583,Planning,Planning,13
South Lanarkshire,2012-13,34220,43077,Roads,Roads,13
South Lanarkshire,2012-13,35765,45022,Support Services,Support Services,13
South Lanarkshire,2012-13,785984,989420,Total General Fund,Total General Fund,13
South Lanarkshire,2013-14,37802,46689,Adult Social Care,Care Homes for Older People,14
South Lanarkshire,2013-14,27866,34417,Adult Social Care,Homecare,14
South Lanarkshire,2013-14,82137,101446,Adult Social Care,Other Spend On Over 18s,14
South Lanarkshire,2013-14,10008,12361,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,14
South Lanarkshire,2013-14,5520,6818,Culture & Leisure,Libraries,14
South Lanarkshire,2013-14,744,919,Culture & Leisure,Museums & Galleries,14
South Lanarkshire,2013-14,8208,10138,Culture & Leisure,Sports Facilities,14
South Lanarkshire,2013-14,18066,22313,Economic Development,Economic Development & Tourism,14
South Lanarkshire,2013-14,15590,19255,Education,Pre-school,14
South Lanarkshire,2013-14,108028,133423,Education,Primary,14
South Lanarkshire,2013-14,113833,140593,Education,Secondary,14
South Lanarkshire,2013-14,4973,6142,Environmental Services,Street cleaning,14
South Lanarkshire,2013-14,5892,7277,Environmental Services,Trading Standards & Env. Health,14
South Lanarkshire,2013-14,9522,11760,Environmental Services,Waste Collection,14
South Lanarkshire,2013-14,14132,17454,Environmental Services,Waste Disposal,14
South Lanarkshire,2013-14,4858,6000,Looked After Children,Community,14
South Lanarkshire,2013-14,9550,11795,Looked After Children,Residential,14
South Lanarkshire,2013-14,5211,6436,Planning,Planning,14
South Lanarkshire,2013-14,30527,37703,Roads,Roads,14
South Lanarkshire,2013-14,34870,43067,Support Services,Support Services,14
South Lanarkshire,2013-14,851834,1052083,Total General Fund,Total General Fund,14
South Lanarkshire,2014-15,39542,48251,Adult Social Care,Care Homes for Older People,15
South Lanarkshire,2014-15,27446,33491,Adult Social Care,Homecare,15
South Lanarkshire,2014-15,82623,100820,Adult Social Care,Other Spend On Over 18s,15
South Lanarkshire,2014-15,10407,12699,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,15
South Lanarkshire,2014-15,5109,6234,Culture & Leisure,Libraries,15
South Lanarkshire,2014-15,641,782,Culture & Leisure,Museums & Galleries,15
South Lanarkshire,2014-15,7415,9048,Culture & Leisure,Sports Facilities,15
South Lanarkshire,2014-15,17547,21411,Economic Development,Economic Development & Tourism,15
South Lanarkshire,2014-15,16805,20506,Education,Pre-school,15
South Lanarkshire,2014-15,110291,134581,Education,Primary,15
South Lanarkshire,2014-15,114718,139983,Education,Secondary,15
South Lanarkshire,2014-15,5343,6520,Environmental Services,Street cleaning,15
South Lanarkshire,2014-15,5515,6730,Environmental Services,Trading Standards & Env. Health,15
South Lanarkshire,2014-15,10040,12251,Environmental Services,Waste Collection,15
South Lanarkshire,2014-15,13432,16390,Environmental Services,Waste Disposal,15
South Lanarkshire,2014-15,5009,6112,Looked After Children,Community,15
South Lanarkshire,2014-15,9228,11260,Looked After Children,Residential,15
South Lanarkshire,2014-15,5119,6246,Planning,Planning,15
South Lanarkshire,2014-15,30221,36877,Roads,Roads,15
South Lanarkshire,2014-15,34544,42152,Support Services,Support Services,15
South Lanarkshire,2014-15,798179,973967,Total General Fund,Total General Fund,15
South Lanarkshire,2015-16,42713,51748,Adult Social Care,Care Homes for Older People,16
South Lanarkshire,2015-16,29348,35556,Adult Social Care,Homecare,16
