Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Aberdeen City,2017-18,8502,9916,Culture & Leisure,Sports Facilities,18
Aberdeen City,2017-18,8007,9339,Economic Development,Economic Development & Tourism,18
Aberdeen City,2017-18,15718,18332,Education,Pre-school,18
Aberdeen City,2017-18,71864,83816,Education,Primary,18
Aberdeen City,2017-18,63031,73514,Education,Secondary,18
Aberdeen City,2017-18,2118,2470,Environmental Services,Street cleaning,18
Aberdeen City,2017-18,6114,7131,Environmental Services,Trading Standards & Env. Health,18
Aberdeen City,2017-18,7966,9291,Environmental Services,Waste Collection,18
Aberdeen City,2017-18,15824,18456,Environmental Services,Waste Disposal,18
Aberdeen City,2017-18,12555,14643,Looked After Children,Community,18
Aberdeen City,2017-18,11995,13990,Looked After Children,Residential,18
Aberdeen City,2017-18,4606,5372,Planning,Planning,18
Aberdeen City,2017-18,25734,30014,Roads,Roads,18
Aberdeen City,2017-18,29129,33973,Support Services,Support Services,18
Aberdeen City,2017-18,586167,683653,Total General Fund,Total General Fund,18
Aberdeen City,2018-19,51763,59125,Adult Social Care,Care Homes for Older People,19
Aberdeen City,2018-19,7470,8532,Adult Social Care,Homecare,19
Aberdeen City,2018-19,73334,83763,Adult Social Care,Other Spend On Over 18s,19
Aberdeen City,2018-19,3272,3737,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,19
Aberdeen City,2018-19,3923,4481,Culture & Leisure,Libraries,19
Aberdeen City,2018-19,3159,3608,Culture & Leisure,Museums & Galleries,19
Aberdeen City,2018-19,8711,9950,Culture & Leisure,Sports Facilities,19
Aberdeen City,2018-19,8990,10269,Economic Development,Economic Development & Tourism,19
Aberdeen City,2018-19,15769,18012,Education,Pre-school,19
Aberdeen City,2018-19,72315,82599,Education,Primary,19
Aberdeen City,2018-19,66444,75893,Education,Secondary,19
Aberdeen City,2018-19,2065,2359,Environmental Services,Street cleaning,19
Aberdeen City,2018-19,4656,5318,Environmental Services,Trading Standards & Env. Health,19
Aberdeen City,2018-19,8027,9169,Environmental Services,Waste Collection,19
Aberdeen City,2018-19,15979,18251,Environmental Services,Waste Disposal,19
Aberdeen City,2018-19,14153,16166,Looked After Children,Community,19
Aberdeen City,2018-19,15703,17936,Looked After Children,Residential,19
Aberdeen City,2018-19,3239,3700,Planning,Planning,19
Aberdeen City,2018-19,14670,16756,Roads,Roads,19
Aberdeen City,2018-19,21793,24892,Support Services,Support Services,19
Aberdeen City,2018-19,590063,673980,Total General Fund,Total General Fund,19
Aberdeen City,2019-20,49679.6517965379,55436,Adult Social Care,Care Homes for Older People,20
Aberdeen City,2019-20,11152,12444,Adult Social Care,Homecare,20
Aberdeen City,2019-20,75766.3482034621,84546,Adult Social Care,Other Spend On Over 18s,20
Aberdeen City,2019-20,3297,3679,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,20
Aberdeen City,2019-20,3855,4302,Culture & Leisure,Libraries,20
Aberdeen City,2019-20,3587,4003,Culture & Leisure,Museums & Galleries,20
Aberdeen City,2019-20,4430,4943,Culture & Leisure,Sports Facilities,20
Aberdeen City,2019-20,8636.76,9638,Economic Development,Economic Development & Tourism,20
Aberdeen City,2019-20,26754,29854,Education,Pre-school,20
Aberdeen City,2019-20,74682,83336,Education,Primary,20
Aberdeen City,2019-20,70226,78363,Education,Secondary,20
Aberdeen City,2019-20,1780,1986,Environmental Services,Street cleaning,20
Aberdeen City,2019-20,4896,5463,Environmental Services,Trading Standards & Env. Health,20
Aberdeen City,2019-20,7820,8726,Environmental Services,Waste Collection,20
Aberdeen City,2019-20,18056,20148,Environmental Services,Waste Disposal,20
Aberdeen City,2019-20,14236,15886,Looked After Children,Community,20
Aberdeen City,2019-20,10378,11581,Looked After Children,Residential,20
Aberdeen City,2019-20,3527.08,3936,Planning,Planning,20
Aberdeen City,2019-20,20991,23423,Roads,Roads,20
Aberdeen City,2019-20,23346,26051,Support Services,Support Services,20
Aberdeen City,2019-20,697583,778413,Total General Fund,Total General Fund,20
Aberdeen City,2020-21,65933.4019954226,71902,Adult Social Care,Care Homes for Older People,21
Aberdeen City,2020-21,13086,14271,Adult Social Care,Homecare,21
Aberdeen City,2020-21,75931.5980045774,82806,Adult Social Care,Other Spend On Over 18s,21
Aberdeen City,2020-21,3353,3657,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
Aberdeen City,2020-21,3287,3585,Culture & Leisure,Libraries,21
Aberdeen City,2020-21,3126,3409,Culture & Leisure,Museums & Galleries,21
Aberdeen City,2020-21,7502,8181,Culture & Leisure,Sports Facilities,21
Aberdeen City,2020-21,4899,5343,Economic Development,Economic Development & Tourism,21
Aberdeen City,2020-21,35333,38532,Education,Pre-school,21
Aberdeen City,2020-21,80633,87933,Education,Primary,21
Aberdeen City,2020-21,69915,76244,Education,Secondary,21
Aberdeen City,2020-21,1590,1734,Environmental Services,Street cleaning,21
Aberdeen City,2020-21,4439,4841,Environmental Services,Trading Standards & Env. Health,21
Aberdeen City,2020-21,8053,8782,Environmental Services,Waste Collection,21
