LocalAuthority,Code,Year,Indicator,Numerator,Denominator
Aberdeen City,CLIM02,2010-11,7.322596337,,
Aberdeen City,CLIM02,2011-12,6.748369731,,
Aberdeen City,CLIM02,2012-13,6.997156636,,
Aberdeen City,CLIM02,2013-14,6.582982462,,
Aberdeen City,CLIM02,2014-15,5.841175423,,
Aberdeen City,CLIM02,2015-16,5.598704665,,
Aberdeen City,CLIM02,2016-17,5.142431525,,
Aberdeen City,CLIM02,2017-18,4.943034862,,
Aberdeen City,CLIM02,2018-19,4.744896974,,
Aberdeen City,CLIM02,2019-20,4.861871206,,
Aberdeen City,CLIM02,2020-21,4.145302252,,
Aberdeen City,CLIM02,2021-22,4.603261291,,
Aberdeen City,CORP01,2010-11,0.0602,30662,509568
Aberdeen City,CORP01,2011-12,0.058,30197,520554
Aberdeen City,CORP01,2012-13,0.0433,21848,504465
Aberdeen City,CORP01,2013-14,0.0492,25904,526860
Aberdeen City,CORP01,2014-15,0.0414,23348,564607
Aberdeen City,CORP01,2015-16,0.0456,26803,587396
Aberdeen City,CORP01,2016-17,0.0441,25956,588822
Aberdeen City,CORP01,2017-18,0.0497,29129,586167
Aberdeen City,CORP01,2018-19,0.0369,21793,590063
Aberdeen City,CORP01,2019-20,0.0335,23346,697583
Aberdeen City,CORP01,2020-21,0.0373,24849,666458
Aberdeen City,CORP01,2021-22,0.0309,20924,677292
Aberdeen City,CORP03b,2010-11,0.4665,174,373
Aberdeen City,CORP03b,2011-12,0.4491,194,432
Aberdeen City,CORP03b,2012-13,0.4969,158,318
Aberdeen City,CORP03b,2013-14,0.4706,144,306
Aberdeen City,CORP03b,2014-15,0.4845,156,322
Aberdeen City,CORP03b,2015-16,0.4915,145,295
Aberdeen City,CORP03b,2016-17,0.4853,132,272
Aberdeen City,CORP03b,2017-18,0.6466,161,249
Aberdeen City,CORP03b,2018-19,0.51,128,251
Aberdeen City,CORP03b,2019-20,0.5966,176,295
Aberdeen City,CORP03b,2020-21,0.5811,172,296
Aberdeen City,CORP03b,2021-22,0.5799,185,319
Aberdeen City,CORP03b,2022-23,0.5424,160,295
Aberdeen City,CORP03c,2015-16,-0.0023,14.84,14.87
Aberdeen City,CORP03c,2016-17,0.0026,15.21,15.17
Aberdeen City,CORP03c,2017-18,0.0166,13.83,13.6
Aberdeen City,CORP03c,2018-19,-0.0056,16.04,16.13
Aberdeen City,CORP03c,2019-20,-0.0562,16.56,17.49
Aberdeen City,CORP03c,2020-21,-0.0557,16.71,17.64
Aberdeen City,CORP03c,2021-22,-0.0372,16.67,17.29
Aberdeen City,CORP03c,2022-23,-0.0617,18.15,19.27
Aberdeen City,CORP04,2010-11,12.96,1441115,111186
Aberdeen City,CORP04,2011-12,9.93,1109455,111759
Aberdeen City,CORP04,2012-13,9.9,1112608,112423
Aberdeen City,CORP04,2013-14,9.7,1097839,113214
Aberdeen City,CORP04,2014-15,9.06,1031509,113872
Aberdeen City,CORP04,2015-16,9.85,1129835,114712
Aberdeen City,CORP04,2016-17,8.32,966148,116173
Aberdeen City,CORP04,2017-18,7.92,931145,117636
Aberdeen City,CORP04,2018-19,7.2,854379,118711
Aberdeen City,CORP04,2019-20,7.28,875337,120221
Aberdeen City,CORP04,2020-21,7.1922,872991,121381
Aberdeen City,CORP04,2021-22,7.2539,891959,122963
Aberdeen City,CORP04,2022-23,6.7815,841072,124025
Aberdeen City,CORP06a,2010-11,6.92,9353,1352
Aberdeen City,CORP06a,2011-12,6.74,9131,1355
Aberdeen City,CORP06a,2012-13,6.69,9041,1352
Aberdeen City,CORP06a,2013-14,6.7,8974,1339
Aberdeen City,CORP06a,2014-15,5.57,8416,1510
Aberdeen City,CORP06a,2015-16,5.67,8512,1502
Aberdeen City,CORP06a,2016-17,6.1,8972,1470
Aberdeen City,CORP06a,2017-18,4.83,8196,1696
Aberdeen City,CORP06a,2018-19,4.87,8151,1675
Aberdeen City,CORP06a,2019-20,5.37,8979,1672
Aberdeen City,CORP06a,2020-21,4.158,7185,1728
Aberdeen City,CORP06a,2021-22,5.5605,9842,1770
Aberdeen City,CORP06b,2010-11,15.91,73603,4627
Aberdeen City,CORP06b,2011-12,13.05,58006,4445
Aberdeen City,CORP06b,2012-13,13.37,60978,4561
Aberdeen City,CORP06b,2013-14,12.69,52454,4134
Aberdeen City,CORP06b,2014-15,11.24,49152,4373
Aberdeen City,CORP06b,2015-16,11.97,54354,4542
Aberdeen City,CORP06b,2016-17,11.6,54563,4702
Aberdeen City,CORP06b,2017-18,11.65,59668,5122
Aberdeen City,CORP06b,2018-19,11.87,58310,4913
Aberdeen City,CORP06b,2019-20,11.3,54417,4816
Aberdeen City,CORP06b,2020-21,10.322,50010,4845
Aberdeen City,CORP06b,2021-22,13.8537,68479,4943
Aberdeen City,CORP07,2010-11,0.9334,93663805,100348235
Aberdeen City,CORP07,2011-12,0.9369,94788171,101169508
Aberdeen City,CORP07,2012-13,0.9419,96918213,102898481
Aberdeen City,CORP07,2013-14,0.9367,98353855,105003266
Aberdeen City,CORP07,2014-15,0.945,101033059,106916029
Aberdeen City,CORP07,2015-16,0.9455,101675383,107531934
Aberdeen City,CORP07,2016-17,0.9515,101042828,106189619
Aberdeen City,CORP07,2017-18,0.9496,107142265,112827839
Aberdeen City,CORP07,2018-19,0.9459,110800363,117139771
Aberdeen City,CORP07,2019-20,0.9358,117031098,125062736
Aberdeen City,CORP07,2020-21,0.9186,119395807,129975737
Aberdeen City,CORP07,2021-22,0.9279,122434102,131942512.4
Aberdeen City,CORP07,2022-23,0.9423,128715225.2,136591128.7
Aberdeen City,CORP08,2010-11,0.8399,78036,92907
Aberdeen City,CORP08,2011-12,0.9512,83730,88025
Aberdeen City,CORP08,2012-13,0.9882,178163,180294
Aberdeen City,CORP08,2013-14,0.9913,163494,164934
Aberdeen City,CORP08,2014-15,0.988,15824,16017
Aberdeen City,CORP08,2015-16,0.9804,172608,176063
Aberdeen City,CORP08,2016-17,0.9721,149136,153413
Aberdeen City,CORP08,2017-18,0.9596,126630,131960
Aberdeen City,CORP08,2018-19,0.8049,139545,173372
Aberdeen City,CORP08,2019-20,0.761,134987,177385
Aberdeen City,CORP08,2020-21,0.8715,133565,153263
Aberdeen City,CORP08,2021-22,0.8524,171834,201581
Aberdeen City,CORP08,2022-23,0.875,175525,200604
Aberdeen City,CORP09,2018-19,0.98,2590,2645
Aberdeen City,CORP09,2018-19,0.98,2985,3035
Aberdeen City,CORP09,2018-19,0.98,3405,3460
Aberdeen City,CORP09,2018-19,0.99,2765,2800
Aberdeen City,CORP09,2019-20,0.95,3975,4175
Aberdeen City,CORP09,2019-20,0.98,2975,3035
Aberdeen City,CORP09,2019-20,0.98,3190,3245
Aberdeen City,CORP09,2019-20,0.99,2990,3035
Aberdeen City,CORP09,2020-21,0.89,3885,4380
Aberdeen City,CORP09,2020-21,0.95,3825,4025
Aberdeen City,CORP09,2020-21,0.96,3585,3720
Aberdeen City,CORP09,2020-21,0.96,4605,4775
Aberdeen City,CORP09,2021-22,0.69,2885,4155
Aberdeen City,CORP09,2021-22,0.92,3280,3550
Aberdeen City,CORP09,2021-22,0.93,2870,3085
Aberdeen City,CORP09,2021-22,0.93,3010,3245
Aberdeen City,CORP09,2022-23,0.54,2010,3735
Aberdeen City,CORP09,2022-23,0.9,3405,3795
Aberdeen City,CORP09,2022-23,0.96,3665,3810
Aberdeen City,CORP09,2022-23,0.98,5015,5095
Aberdeen City,CORP10,2018-19,0.69,590,855
Aberdeen City,CORP10,2018-19,0.79,515,650
Aberdeen City,CORP10,2018-19,0.9,585,650
Aberdeen City,CORP10,2018-19,0.93,640,690
Aberdeen City,CORP10,2019-20,0.58,355,610
