,,Chatham Roadside,
Date,Time,Nitrogen dioxide,Status
16/03/2017,13:00:00,25.69683,V ugm-3
16/03/2017,14:00:00,26.37863,V ugm-3
16/03/2017,15:00:00,38.18784,V ugm-3
16/03/2017,16:00:00,51.12208,V ugm-3
16/03/2017,17:00:00,37.57202,V ugm-3
16/03/2017,18:00:00,43.96359,V ugm-3
16/03/2017,19:00:00,49.80102,V ugm-3
16/03/2017,20:00:00,38.96241,V ugm-3
16/03/2017,21:00:00,28.55602,V ugm-3
16/03/2017,22:00:00,30.15391,V ugm-3
16/03/2017,23:00:00,29.74846,V ugm-3
16/03/2017,24:00:00,22.9806,V ugm-3
17/03/2017,01:00:00,18.0081,V ugm-3
17/03/2017,02:00:00,16.64512,V ugm-3
17/03/2017,03:00:00,9.19721,V ugm-3
17/03/2017,04:00:00,11.65669,V ugm-3
17/03/2017,05:00:00,15.19577,V ugm-3
17/03/2017,06:00:00,31.4764,V ugm-3
17/03/2017,07:00:00,51.15268,V ugm-3
17/03/2017,08:00:00,55.52944,V ugm-3
17/03/2017,09:00:00,69.32,V ugm-3
17/03/2017,10:00:00,40.39296,V ugm-3
17/03/2017,11:00:00,39.07572,V ugm-3
17/03/2017,12:00:00,29.75324,V ugm-3
17/03/2017,13:00:00,29.8154,V ugm-3
17/03/2017,14:00:00,33.06856,V ugm-3
17/03/2017,15:00:00,22.93757,V ugm-3
17/03/2017,16:00:00,35.04274,V ugm-3
17/03/2017,17:00:00,24.94952,V ugm-3
17/03/2017,18:00:00,20.38247,V ugm-3
17/03/2017,19:00:00,28.84911,V ugm-3
17/03/2017,20:00:00,17.33873,V ugm-3
17/03/2017,21:00:00,12.79319,V ugm-3
17/03/2017,22:00:00,7.10398,V ugm-3
17/03/2017,23:00:00,6.66267,V ugm-3
17/03/2017,24:00:00,4.69088,V ugm-3
18/03/2017,01:00:00,3.63566,V ugm-3
18/03/2017,02:00:00,0.69679,V ugm-3
18/03/2017,03:00:00,No data,V ugm-3
18/03/2017,04:00:00,No data,V ugm-3
