LocalAuthority,IndicatorCode,Year,IndicatorCash_LA,NumeratorCash_LA,DenominatorCash_LA
Aberdeen City,CHN21,2017-18,0.90,,
Aberdeen City,CHN21,2018-19,0.90,,
Aberdeen City,CHN21,2019-20,0.90,,
Aberdeen City,CHN21,2020-21,0.89,,
Aberdeen City,CHN21,2021-22,0.91,,
Aberdeen City,CHN21,2022-23,0.93,,
Aberdeen City,CHN22,2012-13,0.04,,
Aberdeen City,CHN22,2013-14,0.07,,
Aberdeen City,CHN22,2014-15,0.11,,
Aberdeen City,CHN22,2015-16,0.06,,
Aberdeen City,CHN22,2016-17,0.05,,
Aberdeen City,CHN22,2017-18,0.03,,
Aberdeen City,CHN22,2018-19,0.06,,
Aberdeen City,CHN22,2019-20,0.03,,
Aberdeen City,CHN22,2020-21,0.02,,
Aberdeen City,CHN22,2021-22,0.18,,
Aberdeen City,CHN23,2010-11,0.27,,
Aberdeen City,CHN23,2011-12,0.27,,
Aberdeen City,CHN23,2012-13,0.29,,
Aberdeen City,CHN23,2013-14,0.26,,
Aberdeen City,CHN23,2014-15,0.25,,
Aberdeen City,CHN23,2015-16,0.24,,
Aberdeen City,CHN23,2016-17,0.28,,
Aberdeen City,CHN23,2017-18,0.22,,
Aberdeen City,CHN23,2018-19,0.25,,
Aberdeen City,CHN23,2019-20,0.20,,
Aberdeen City,CHN23,2020-21,0.21,,
Aberdeen City,CHN23,2021-22,0.19,,
Aberdeen City,CHN24,2014-15,0.19,,
Aberdeen City,CHN24,2015-16,0.20,,
Aberdeen City,CHN24,2016-17,0.21,,
Aberdeen City,CHN24,2017-18,0.22,,
Aberdeen City,CHN24,2018-19,0.21,,
Aberdeen City,CHN24,2019-20,0.21,,
Aberdeen City,CHN24,2020-21,0.18,,
Aberdeen City,CHN24,2021-22,0.20,,
Aberdeen City,CLIM01,2010-11,7.79,,
Aberdeen City,CLIM01,2011-12,7.20,,
Aberdeen City,CLIM01,2012-13,7.43,,
Aberdeen City,CLIM01,2013-14,7.03,,
Aberdeen City,CLIM01,2014-15,6.29,,
Aberdeen City,CLIM01,2015-16,6.04,,
Aberdeen City,CLIM01,2016-17,5.62,,
Aberdeen City,CLIM01,2017-18,5.44,,
Aberdeen City,CLIM01,2018-19,5.21,,
Aberdeen City,CLIM01,2019-20,5.30,,
Aberdeen City,CLIM01,2020-21,4.52,,
Aberdeen City,CLIM01,2021-22,4.97,,
Aberdeen City,CLIM02,2010-11,7.32,,
Aberdeen City,CLIM02,2011-12,6.75,,
Aberdeen City,CLIM02,2012-13,7.00,,
Aberdeen City,CLIM02,2013-14,6.58,,
Aberdeen City,CLIM02,2014-15,5.84,,
Aberdeen City,CLIM02,2015-16,5.60,,
Aberdeen City,CLIM02,2016-17,5.14,,
Aberdeen City,CLIM02,2017-18,4.94,,
Aberdeen City,CLIM02,2018-19,4.74,,
Aberdeen City,CLIM02,2019-20,4.86,,
Aberdeen City,CLIM02,2020-21,4.15,,
Aberdeen City,CLIM02,2021-22,4.60,,
Aberdeen City,CORP01,2010-11,0.06,30662.00,509568.00
